API_UWI,Unformatted_API_UWI,WellName,Country,StateProvince,County,ENVOperator,StateWellType,Formation,FirstProdDate,Latitude,Longitude,Latitude_BH,Longitude_BH,TVD_FT,MD_FT,Field,Section,Township,Range,Section_Township_Range,ElevationKB_FT,ElevationGL_FT,PermitApprovedDate,DrillingEndDate,StateFileNumber,UpperPerf_FT,LowerPerf_FT,FirstProdYear
25-085-21704,2508521704,CYRUS  44-30H,US,MT,ROOSEVELT,SAMSON OIL AND GAS USA,INJECTION - DISPOSAL,RATCLIFFE,2007-10-01,48.31878828465464,-104.21936241593357,48.329487,-104.235106,,14100.0,Wildcat Roosevelt,30,030N,058E,30-030N-058E,2349.0,2335.0,2006-05-22,,,,,*Pre-2010
33-053-02604,3305302604,BANKS  1-18H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,RATCILFFE,2004-12-01,47.817477999999994,-103.795034,47.807144593732346,-103.77909683849546,9275.0,14413.0,FOREMAN BUTTE,18,150N,102W,18-150N-102W,2111.0,2098.0,2004-08-11,2005-02-06,15644,9254,14413,*Pre-2010
33-053-02604,3305302604,BANKS  1-18H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,RATCILFFE,2004-12-01,47.817477999999994,-103.795034,47.807144593732346,-103.77909683849546,9273.0,14413.0,FOREMAN BUTTE,18,150N,102W,18-150N-102W,2111.0,2098.0,2004-08-11,,,9254,14413,*Pre-2010
25-085-21697,2508521697,RIDDLE  11-31H,US,MT,ROOSEVELT,SAMSON OIL AND GAS USA,OIL,RATCLIFFE,2006-03-01,48.31556943841775,-104.2354220376335,48.315357345307184,-104.23571936433856,,14364.0,Gunsight,31,030N,058E,31-030N-058E,2348.0,2329.0,2005-10-03,,,,,*Pre-2010
33-053-02442,3305302442,ANDREWS     1-5,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,MADISON POOL,1993-11-01,47.84580026356691,-104.0211647485309,,,,9154.0,HARDING,05,150N,104W,05-150N-104W,1906.0,1892.0,,,13576,8902,9076,*Pre-2010
25-083-21109,2508321109,SALSBURY  2-22,US,MT,RICHLAND,SAMSON OIL AND GAS USA,INJECTION - DISPOSAL,,,47.99314330701744,-104.2234498564468,,,,12890.0,"Sioux Pass, North",22,026N,058E,22-026N-058E,,2302.0,1975-01-22,,,,,
33-053-02591,3305302591,LYLE  1-35H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,NESSON,2004-07-01,47.94781699999999,-103.580861,47.939063611549415,-103.56760698938655,9376.0,13652.0,CAMP,35,152N,101W,35-152N-101W,1993.0,1980.0,2004-04-20,2004-06-09,15586,9172,13652,*Pre-2010
33-053-02591,3305302591,LYLE  1-35H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,NESSON,2004-07-01,47.94781699999999,-103.580861,47.939063611549415,-103.56760698938655,9376.0,13652.0,CAMP,35,152N,101W,35-152N-101W,1993.0,1980.0,2004-04-20,,,9172,13652,*Pre-2010
33-053-02639,3305302639,GONZALEZ 1-8H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,RATCLIFFE,2005-09-01,47.83406699999999,-103.77288499999999,47.826867,-103.770621,9340.0,15050.0,FOREMAN BUTTE,05,150N,102W,05-150N-102W,2177.0,2159.0,2005-03-18,2005-08-29,15767,9711,15050,*Pre-2010
33-053-02639,3305302639,GONZALEZ 1-8H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,RATCLIFFE,2005-09-01,47.83406699999999,-103.77288499999999,47.826867,-103.770621,9340.0,15050.0,FOREMAN BUTTE,05,150N,102W,05-150N-102W,2177.0,2159.0,2005-03-18,,,9711,15050,*Pre-2010
